,Tari,Cluster
0,Afghanistan,c1
1,Albania,c2
2,Algeria,c1
3,Andorra,c2
4,Angola,c2
5,Antigua and Barbuda,c2
6,Argentina,c2
7,Armenia,c2
8,Australia,c2
9,Austria,c2
10,Azerbaijan,c1
11,Bahamas,c1
12,Bahrain,c1
13,Bangladesh,c1
14,Barbados,c2
15,Belarus,c2
16,Belgium,c2
17,Belize,c2
18,Benin,c1
19,Bhutan,c1
20,Bolivia,c2
21,Bosnia and Herzegovina,c2
22,Botswana,c2
23,Brazil,c2
24,Brunei,c1
25,Bulgaria,c2
26,Burkina Faso,c2
27,Burundi,c2
28,Cambodia,c1
29,Cameroon,c2
30,Canada,c2
31,Cape Verde,c2
32,Central African Republic,c1
33,Chad,c1
34,Chile,c2
35,China,c2
36,Colombia,c2
37,Comoros,c1
38,Congo,c2
39,Costa Rica,c2
40,Cote d'Ivoire,c1
41,Croatia,c2
42,Cuba,c2
43,Cyprus,c2
44,Czechia,c2
45,Democratic Republic of Congo,c1
46,Denmark,c2
47,Djibouti,c1
48,Dominica,c2
49,Dominican Republic,c2
50,Ecuador,c2
51,Egypt,c1
52,El Salvador,c1
53,Equatorial Guinea,c2
54,Eritrea,c1
55,Estonia,c2
56,Eswatini,c2
57,Ethiopia,c1
58,Fiji,c1
59,Finland,c2
60,France,c2
61,Gabon,c2
62,Gambia,c1
63,Georgia,c2
64,Germany,c2
65,Ghana,c1
66,Greece,c2
67,Grenada,c2
68,Guatemala,c1
69,Guinea,c1
70,Guinea-Bissau,c2
71,Guyana,c2
72,Haiti,c1
73,Honduras,c1
74,Hungary,c2
75,Iceland,c2
76,India,c1
77,Indonesia,c1
78,Iran,c1
79,Iraq,c1
80,Ireland,c2
81,Israel,c1
82,Italy,c2
83,Jamaica,c1
84,Japan,c2
85,Jordan,c1
86,Kazakhstan,c2
87,Kenya,c1
88,Kiribati,c1
89,Kuwait,c1
90,Kyrgyzstan,c2
91,Laos,c2
92,Latvia,c2
93,Lebanon,c1
94,Lesotho,c2
95,Liberia,c2
96,Libya,c1
97,Lithuania,c2
98,Luxembourg,c2
99,Madagascar,c1
100,Malawi,c1
101,Malaysia,c1
102,Maldives,c1
103,Mali,c1
104,Malta,c2
105,Mauritania,c1
106,Mauritius,c1
107,Mexico,c2
108,Micronesia (country),c1
109,Moldova,c2
110,Mongolia,c2
111,Montenegro,c2
112,Morocco,c1
113,Mozambique,c1
114,Myanmar,c1
115,Namibia,c1
116,Nauru,c1
117,Nepal,c1
118,Netherlands,c2
119,New Zealand,c2
120,Nicaragua,c2
121,Niger,c1
122,Nigeria,c2
123,North Korea,c1
124,North Macedonia,c2
125,Norway,c2
126,Oman,c1
127,Pakistan,c1
128,Panama,c2
129,Papua New Guinea,c1
130,Paraguay,c2
131,Peru,c2
132,Philippines,c2
133,Poland,c2
134,Portugal,c2
135,Qatar,c1
136,Romania,c2
137,Russia,c2
138,Rwanda,c2
139,Saint Kitts and Nevis,c2
140,Saint Lucia,c2
141,Saint Vincent and the Grenadines,c2
142,Samoa,c1
143,Sao Tome and Principe,c2
144,Saudi Arabia,c1
145,Senegal,c1
146,Serbia,c2
147,Seychelles,c2
148,Sierra Leone,c2
149,Singapore,c1
150,Slovakia,c2
151,Slovenia,c2
152,Solomon Islands,c1
153,Somalia,c1
154,South Africa,c2
155,South Korea,c2
156,Spain,c2
157,Sri Lanka,c1
158,Sudan,c1
159,Suriname,c2
160,Sweden,c2
161,Switzerland,c2
162,Syria,c1
163,Tajikistan,c1
164,Tanzania,c2
165,Thailand,c2
166,Timor,c1
167,Togo,c1
168,Tonga,c1
169,Trinidad and Tobago,c2
170,Tunisia,c1
171,Turkey,c1
172,Turkmenistan,c2
173,Tuvalu,c1
174,Uganda,c2
175,Ukraine,c2
176,United Arab Emirates,c1
177,United Kingdom,c2
178,United States,c2
179,Uruguay,c2
180,Uzbekistan,c1
181,Vanuatu,c1
182,Venezuela,c2
183,Vietnam,c2
184,Yemen,c1
185,Zambia,c2
186,Zimbabwe,c1
